"MCHC"	"cell #"	"D"	"height"	"<u>"	"radius"	"area"	"volume"	"sphericity"	"<u>"	"C2-1"	"C2-2"	"C2-R"	"HMAX"	"SMAX"	"Concavity"	"D1"	"D2"	"DR"
32	1	5.39	0.010587	11.616505	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	2	0	1.731084	21.450909	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.098	1.735439	21.519753	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.196	1.748427	21.47069	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.294	1.769785	21.522675	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.392	1.799122	21.448857	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.49	1.835875	21.431232	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.588	1.879385	21.373238	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.686	1.928824	21.403425	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.784	1.983285	21.332023	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.882	2.041844	21.208982	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	0.98	2.103501	20.989752	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.078	2.167284	20.834755	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.176	2.232191	20.537957	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.274	2.297403	20.136667	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.372	2.362149	19.677564	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.47	2.425726	19.168425	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.568	2.487442	18.644254	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.666	2.546674	18.142806	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.764	2.602733	17.623547	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.862	2.654751	17.278825	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	1.96	2.701715	16.985538	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.058	2.742417	16.788074	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.156	2.775604	16.612937	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.254	2.800276	16.508899	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.352	2.815856	16.298842	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.45	2.822031	16.073156	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.548	2.818491	15.730049	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.646	2.804809	15.392306	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.744	2.780081	14.988661	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.842	2.742706	14.674345	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	2.94	2.690464	14.385488	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.038	2.620954	14.320379	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.136	2.531943	14.48933	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.234	2.420963	14.760368	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.332	2.28516	15.250469	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.43	2.122538	15.865936	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.528	1.934439	16.391399	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.626	1.72711	16.879667	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.724	1.510761	17.16305	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.822	1.2959	17.187026	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	3.92	1.089093	17.031184	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.018	0.892004	16.592589	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.116	0.705183	15.899428	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.214	0.533151	15.162504	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.312	0.384273	14.327812	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.41	0.265145	13.552368	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.508	0.176172	12.848343	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.606	0.113333	12.280551	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.704	0.071311	11.862366	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.802	0.045968	11.664532	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.9	0.034371	11.538714	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	4.998	0.029005	11.453194	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	5.096	0.027889	11.371839	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	5.194	0.028042	11.343304	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	5.292	0.028376	11.309857	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	5.39	0.028363	11.274539	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	2	5.488	0.027796	11.152193	3.724	133.655433	108.27244	0.821945	21.450909	0.000195	0.000119	0.000128	2.822031	0.663874	0.868187	1.176	2.45	3.724
32	3	0	1.407332	18.622635	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.098	1.411327	18.682846	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.196	1.423184	18.669337	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.294	1.442598	18.68972	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.392	1.469139	18.68218	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.49	1.502314	18.719613	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.588	1.54162	18.676456	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.686	1.586498	18.616822	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.784	1.636386	18.498509	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.882	1.690671	18.41629	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	0.98	1.748683	18.264795	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.078	1.809621	18.160089	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.176	1.872584	17.978915	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.274	1.936684	18.713831	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.372	2.00103	18.489192	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.47	2.06475	18.239684	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.568	2.127003	18.076197	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.666	2.18699	17.973674	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.764	2.243984	17.841122	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.862	2.297252	17.812845	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	1.96	2.346141	16.923122	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.058	2.38991	17.083699	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.156	2.427782	17.213737	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.254	2.458928	17.244839	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.352	2.482547	17.208488	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.45	2.497991	17.097018	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.548	2.504751	16.876352	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.646	2.502402	16.586612	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.744	2.490352	16.208011	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.842	2.467723	15.804703	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	2.94	2.433184	15.467892	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.038	2.384671	15.441681	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.136	2.319132	15.620156	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.234	2.232898	16.055229	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.332	2.12248	16.681534	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.43	1.985822	17.551906	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.528	1.82336	18.656931	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.626	1.638261	19.63258	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.724	1.437015	20.322083	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.822	1.228573	20.745971	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	3.92	1.022851	20.838942	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	4.018	0.828225	20.660857	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	4.116	0.650251	20.054524	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	4.214	0.492374	19.009712	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	4.312	0.357021	17.826671	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	4.41	0.246065	16.497396	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	4.508	0.160093	15.196903	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	4.606	0.102014	14.062128	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
32	3	4.704	0.066818	13.082575	3.822	131.846577	98.816211	0.783972	18.622635	0.000145	0.000131	0.000186	2.504751	0.655338	0.783623	1.274	2.548	3.822
